id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
118040,US,"A bit too soft and thus lacks structure. Shows a good array of wild berry and briary, brambly flavors. Dry and spicy, and ready now.",The Convict Rocky Ridge Vineyard,86,38,California,Rockpile,Sonoma,,,Paradise Ridge 2006 The Convict Rocky Ridge Vineyard Zinfandel (Rockpile),Zinfandel,Paradise Ridge
59743,Italy,"Aromas of toasted oak, vanilla and a confectionary note lead the nose while the palate offers mature Golden Delicious apple, butterscotch and walnut skin alongside bracing acidity.",Mongris Riserva,88,30,Northeastern Italy,Collio,,Kerin O???Keefe,@kerinokeefe,Marco Felluga 2012 Mongris Riserva Pinot Grigio (Collio),Pinot Grigio,Marco Felluga
117951,US,"Heavy in alcohol and overripe, but entirely dry, and the black currant, chocolate and pepper flavors will play well against richly sauced barbecue.",The Caboose,84,30,California,Alexander Valley,Sonoma,,,Starry Night 2007 The Caboose Zinfandel (Alexander Valley),Zinfandel,Starry Night
10202,France,"Fragrant; dusty plum and rose aromas are followed on the palate by very fruity flavors of cherries and apple skins. The fine bead and rich mousse result in a creamy mouthfeel. It???s all a bit obvious and simple, but undeniably good.",Brut Ros??,87,83,Champagne,Champagne,,Joe Czerwinski,@JoeCz,Ruinart NV Brut Ros?? (Champagne),Champagne Blend,Ruinart
69268,Germany,"Layers of plush yellow peach and apricot flavors highlight this easy, crowd-pleasing kabinett. Sunny lemon acidity lends refreshment to the midpalate, cutting through all the ripeness and leading to a brisk finish. Drink now through 2019.",Kabinett,88,15,Rheinhessen,,,Anna Lee C. Iijima,,Weinreich 2012 Kabinett Riesling (Rheinhessen),Riesling,Weinreich
8052,US,"A boisterous, easy-drinking red wine that gushes ripe fruit and sweet oak aromas. It tastes almost sweet, like blackberry jam, and seems soft-textured in spite of its full body.",Dante's Inferno,86,31,California,California,California Other,Jim Gordon,@gordone_cellars,Dante Robere 2012 Dante's Inferno Red (California),Rh??ne-style Red Blend,Dante Robere
18672,US,"Superripe and oaky in pineapple, white peach pur??e, pear tart, buttered toast and vanilla-infused cr??me br??l??e, this Chardonnay is saved from mere richness by crisp coastal acidity and a fine spine of minerals. Exotic and delicious, it's at its best now.",Split Rock Vineyard,92,30,California,Sonoma Coast,Sonoma,,,Bartz-Allen 2008 Split Rock Vineyard Chardonnay (Sonoma Coast),Chardonnay,Bartz-Allen
106260,France,"This is a fresh wine that has been aged in tanks, retaining its bright red fruits and lively acidity. It is still young although it will develop quickly to give a soft fruit-driven wine.",,86,11,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Ch??teau Roc de S??gur 2015 Bordeaux,Bordeaux-style Red Blend,Ch??teau Roc de S??gur
75703,US,"This white is a study in unexpected complexity and pleasure. Quince, sulfur and grapefruit notes define it best, as supple minerality and gravelly texture provide dimensionality.",Olema,90,15,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Amici 2014 Olema Chardonnay (Sonoma County),Chardonnay,Amici
2756,Chile,"There are a lot of uncommon, unusual elements to this Pinot. For starters, the nose is volatile, with notes of horseradish and grapefruit. The palate has a solid, juicy feel to it, while mulchy cherry and plum flavors finish aimlessly.",Unfiltered,84,25,Casablanca Valley,,,Michael Schachner,@wineschach,Loma Larga 2013 Unfiltered Pinot Noir (Casablanca Valley),Pinot Noir,Loma Larga
